Date,ES=F
2017-11-09 00:00:00-05:00,2584.0
2017-11-10 00:00:00-05:00,2579.5
2017-11-13 00:00:00-05:00,2582.0
2017-11-14 00:00:00-05:00,2578.0
2017-11-15 00:00:00-05:00,2565.0
2017-11-16 00:00:00-05:00,2585.0
2017-11-17 00:00:00-05:00,2576.25
2017-11-20 00:00:00-05:00,2582.0
2017-11-21 00:00:00-05:00,2596.25
2017-11-22 00:00:00-05:00,2594.5
2017-11-24 00:00:00-05:00,2601.0
2017-11-27 00:00:00-05:00,2601.75
2017-11-28 00:00:00-05:00,2626.0
2017-11-29 00:00:00-05:00,2625.0
2017-11-30 00:00:00-05:00,2648.0
2017-12-01 00:00:00-05:00,2644.0
2017-12-04 00:00:00-05:00,2638.25
2017-12-05 00:00:00-05:00,2628.25
2017-12-06 00:00:00-05:00,2629.25
2017-12-07 00:00:00-05:00,2639.5
2017-12-08 00:00:00-05:00,2651.0
2017-12-11 00:00:00-05:00,2661.5
2017-12-12 00:00:00-05:00,2665.0
2017-12-13 00:00:00-05:00,2666.5
2017-12-14 00:00:00-05:00,2653.25
2017-12-15 00:00:00-05:00,2666.75
2017-12-18 00:00:00-05:00,2694.5
2017-12-19 00:00:00-05:00,2684.0
2017-12-20 00:00:00-05:00,2681.5
2017-12-21 00:00:00-05:00,2687.75
2017-12-22 00:00:00-05:00,2686.0
2017-12-26 00:00:00-05:00,2687.0
2017-12-27 00:00:00-05:00,2685.5
2017-12-28 00:00:00-05:00,2685.75
2017-12-29 00:00:00-05:00,2676.0
2018-01-02 00:00:00-05:00,2693.0
2018-01-03 00:00:00-05:00,2711.0
2018-01-04 00:00:00-05:00,2723.75
2018-01-05 00:00:00-05:00,2742.5
2018-01-08 00:00:00-05:00,2746.75
2018-01-09 00:00:00-05:00,2752.25
2018-01-10 00:00:00-05:00,2750.5
2018-01-11 00:00:00-05:00,2769.5
2018-01-12 00:00:00-05:00,2788.75
2018-01-16 00:00:00-05:00,2782.5
2018-01-17 00:00:00-05:00,2803.75
2018-01-18 00:00:00-05:00,2796.25
2018-01-19 00:00:00-05:00,2811.0
2018-01-22 00:00:00-05:00,2835.25
2018-01-23 00:00:00-05:00,2839.5
2018-01-24 00:00:00-05:00,2841.0
2018-01-25 00:00:00-05:00,2841.25
2018-01-26 00:00:00-05:00,2874.5
2018-01-29 00:00:00-05:00,2853.5
2018-01-30 00:00:00-05:00,2824.5
2018-01-31 00:00:00-05:00,2825.75
2018-02-01 00:00:00-05:00,2822.5
2018-02-02 00:00:00-05:00,2756.75
2018-02-05 00:00:00-05:00,2607.75
2018-02-06 00:00:00-05:00,2694.25
2018-02-07 00:00:00-05:00,2668.25
2018-02-08 00:00:00-05:00,2593.5
2018-02-09 00:00:00-05:00,2619.0
2018-02-12 00:00:00-05:00,2655.25
2018-02-13 00:00:00-05:00,2661.75
2018-02-14 00:00:00-05:00,2697.0
2018-02-15 00:00:00-05:00,2734.0
2018-02-16 00:00:00-05:00,2735.0
2018-02-20 00:00:00-05:00,2714.0
2018-02-21 00:00:00-05:00,2698.75
2018-02-22 00:00:00-05:00,2711.5
2018-02-23 00:00:00-05:00,2748.75
2018-02-26 00:00:00-05:00,2784.5
2018-02-27 00:00:00-05:00,2747.5
2018-02-28 00:00:00-05:00,2714.5
2018-03-01 00:00:00-05:00,2678.25
2018-03-02 00:00:00-05:00,2690.25
2018-03-05 00:00:00-05:00,2718.5
2018-03-06 00:00:00-05:00,2724.0
2018-03-07 00:00:00-05:00,2723.25
2018-03-08 00:00:00-05:00,2739.25
2018-03-09 00:00:00-05:00,2784.0
2018-03-12 00:00:00-04:00,2784.0
2018-03-13 00:00:00-04:00,2768.5
2018-03-14 00:00:00-04:00,2749.75
2018-03-15 00:00:00-04:00,2751.5
2018-03-16 00:00:00-04:00,2752.75
2018-03-19 00:00:00-04:00,2722.75
2018-03-20 00:00:00-04:00,2723.5
2018-03-21 00:00:00-04:00,2718.25
2018-03-22 00:00:00-04:00,2643.25
2018-03-23 00:00:00-04:00,2597.75
2018-03-26 00:00:00-04:00,2659.5
2018-03-27 00:00:00-04:00,2615.75
2018-03-28 00:00:00-04:00,2607.5
2018-03-29 00:00:00-04:00,2643.0
2018-04-02 00:00:00-04:00,2575.0
2018-04-03 00:00:00-04:00,2613.25
2018-04-04 00:00:00-04:00,2647.0
2018-04-05 00:00:00-04:00,2661.75
2018-04-06 00:00:00-04:00,2605.75
2018-04-09 00:00:00-04:00,2619.0
2018-04-10 00:00:00-04:00,2655.0
2018-04-11 00:00:00-04:00,2641.0
2018-04-12 00:00:00-04:00,2664.0
2018-04-13 00:00:00-04:00,2657.25
2018-04-16 00:00:00-04:00,2681.75
2018-04-17 00:00:00-04:00,2706.5
2018-04-18 00:00:00-04:00,2709.75
2018-04-19 00:00:00-04:00,2693.0
2018-04-20 00:00:00-04:00,2671.5
2018-04-23 00:00:00-04:00,2671.25
2018-04-24 00:00:00-04:00,2635.25
2018-04-25 00:00:00-04:00,2644.5
2018-04-26 00:00:00-04:00,2674.5
2018-04-27 00:00:00-04:00,2671.5
2018-04-30 00:00:00-04:00,2647.0
2018-05-01 00:00:00-04:00,2652.25
2018-05-02 00:00:00-04:00,2627.5
2018-05-03 00:00:00-04:00,2631.75
2018-05-04 00:00:00-04:00,2663.0
2018-05-07 00:00:00-04:00,2670.0
2018-05-08 00:00:00-04:00,2670.25
2018-05-09 00:00:00-04:00,2696.0
2018-05-10 00:00:00-04:00,2718.75
2018-05-11 00:00:00-04:00,2729.5
2018-05-14 00:00:00-04:00,2731.0
2018-05-15 00:00:00-04:00,2709.0
2018-05-16 00:00:00-04:00,2723.0
2018-05-17 00:00:00-04:00,2718.75
2018-05-18 00:00:00-04:00,2713.0
2018-05-21 00:00:00-04:00,2733.0
2018-05-22 00:00:00-04:00,2726.0
2018-05-23 00:00:00-04:00,2730.75
2018-05-24 00:00:00-04:00,2727.5
2018-05-25 00:00:00-04:00,2718.25
2018-05-29 00:00:00-04:00,2692.25
2018-05-30 00:00:00-04:00,2724.5
2018-05-31 00:00:00-04:00,2705.5
2018-06-01 00:00:00-04:00,2733.75
2018-06-04 00:00:00-04:00,2745.5
2018-06-05 00:00:00-04:00,2751.5
2018-06-06 00:00:00-04:00,2772.25
