Date,NQ=F
2017-11-09 00:00:00-05:00,6314.5
2017-11-10 00:00:00-05:00,6309.25
2017-11-13 00:00:00-05:00,6312.0
2017-11-14 00:00:00-05:00,6293.5
2017-11-15 00:00:00-05:00,6266.25
2017-11-16 00:00:00-05:00,6341.0
2017-11-17 00:00:00-05:00,6313.25
2017-11-20 00:00:00-05:00,6316.0
2017-11-21 00:00:00-05:00,6379.5
2017-11-22 00:00:00-05:00,6389.5
2017-11-24 00:00:00-05:00,6413.5
2017-11-27 00:00:00-05:00,6413.25
2017-11-28 00:00:00-05:00,6420.25
2017-11-29 00:00:00-05:00,6305.5
2017-11-30 00:00:00-05:00,6369.0
2017-12-01 00:00:00-05:00,6346.25
2017-12-04 00:00:00-05:00,6265.25
2017-12-05 00:00:00-05:00,6271.75
2017-12-06 00:00:00-05:00,6293.0
2017-12-07 00:00:00-05:00,6323.0
2017-12-08 00:00:00-05:00,6340.0
2017-12-11 00:00:00-05:00,6397.5
2017-12-12 00:00:00-05:00,6384.25
2017-12-13 00:00:00-05:00,6398.5
2017-12-14 00:00:00-05:00,6391.75
2017-12-15 00:00:00-05:00,6478.0
2017-12-18 00:00:00-05:00,6535.25
2017-12-19 00:00:00-05:00,6500.75
2017-12-20 00:00:00-05:00,6489.0
2017-12-21 00:00:00-05:00,6492.25
2017-12-22 00:00:00-05:00,6483.75
2017-12-26 00:00:00-05:00,6460.0
2017-12-27 00:00:00-05:00,6454.0
2017-12-28 00:00:00-05:00,6446.25
2017-12-29 00:00:00-05:00,6408.75
2018-01-02 00:00:00-05:00,6514.75
2018-01-03 00:00:00-05:00,6584.5
2018-01-04 00:00:00-05:00,6603.5
2018-01-05 00:00:00-05:00,6667.75
2018-01-08 00:00:00-05:00,6688.0
2018-01-09 00:00:00-05:00,6687.0
2018-01-10 00:00:00-05:00,6677.25
2018-01-11 00:00:00-05:00,6726.5
2018-01-12 00:00:00-05:00,6775.25
2018-01-16 00:00:00-05:00,6762.25
2018-01-17 00:00:00-05:00,6823.75
2018-01-18 00:00:00-05:00,6813.0
2018-01-19 00:00:00-05:00,6845.75
2018-01-22 00:00:00-05:00,6931.0
2018-01-23 00:00:00-05:00,6965.75
2018-01-24 00:00:00-05:00,6931.25
2018-01-25 00:00:00-05:00,6931.5
2018-01-26 00:00:00-05:00,7030.25
2018-01-29 00:00:00-05:00,6992.5
2018-01-30 00:00:00-05:00,6941.5
2018-01-31 00:00:00-05:00,6962.5
2018-02-01 00:00:00-05:00,6898.5
2018-02-02 00:00:00-05:00,6755.75
2018-02-05 00:00:00-05:00,6429.25
2018-02-06 00:00:00-05:00,6653.75
2018-02-07 00:00:00-05:00,6555.75
