Date,VTI
2018-04-23 00:00:00-04:00,123.53556060791016
2018-04-24 00:00:00-04:00,122.05260467529297
2018-04-25 00:00:00-04:00,122.1874008178711
2018-04-26 00:00:00-04:00,123.34683227539062
2018-04-27 00:00:00-04:00,123.4277114868164
2018-04-30 00:00:00-04:00,122.52892303466797
2018-05-01 00:00:00-04:00,122.7176513671875
2018-05-02 00:00:00-04:00,122.00762939453125
2018-05-03 00:00:00-04:00,121.67510986328125
2018-05-04 00:00:00-04:00,123.24799346923828
2018-05-07 00:00:00-04:00,123.78717803955078
2018-05-08 00:00:00-04:00,123.83213806152344
2018-05-09 00:00:00-04:00,125.00054168701172
2018-05-10 00:00:00-04:00,126.08808135986328
2018-05-11 00:00:00-04:00,126.33972930908203
2018-05-14 00:00:00-04:00,126.40257263183594
2018-05-15 00:00:00-04:00,125.63870239257812
2018-05-16 00:00:00-04:00,126.24979400634766
2018-05-17 00:00:00-04:00,126.28575897216797
2018-05-18 00:00:00-04:00,126.00717163085938
2018-05-21 00:00:00-04:00,126.95085144042969
2018-05-22 00:00:00-04:00,126.48348999023438
2018-05-23 00:00:00-04:00,126.81605529785156
2018-05-24 00:00:00-04:00,126.60932159423828
2018-05-25 00:00:00-04:00,126.36666107177734
2018-05-29 00:00:00-04:00,125.11740112304688
2018-05-30 00:00:00-04:00,126.73513793945312
2018-05-31 00:00:00-04:00,125.86337280273438
2018-06-01 00:00:00-04:00,127.1755599975586
2018-06-04 00:00:00-04:00,127.76876068115234
2018-06-05 00:00:00-04:00,127.95745086669922
2018-06-06 00:00:00-04:00,129.08995056152344
2018-06-07 00:00:00-04:00,128.90115356445312
2018-06-08 00:00:00-04:00,129.34161376953125
2018-06-11 00:00:00-04:00,129.53033447265625
2018-06-12 00:00:00-04:00,129.79995727539062
2018-06-13 00:00:00-04:00,129.3146209716797
2018-06-14 00:00:00-04:00,129.68310546875
2018-06-15 00:00:00-04:00,129.5572967529297
2018-06-18 00:00:00-04:00,129.41348266601562
2018-06-19 00:00:00-04:00,128.98207092285156
2018-06-20 00:00:00-04:00,129.27867126464844
2018-06-21 00:00:00-04:00,128.38890075683594
2018-06-22 00:00:00-04:00,128.57208251953125
2018-06-25 00:00:00-04:00,126.76692962646484
2018-06-26 00:00:00-04:00,127.05579376220703
2018-06-27 00:00:00-04:00,125.87342834472656
2018-06-28 00:00:00-04:00,126.65861511230469
2018-06-29 00:00:00-04:00,126.7488784790039
2018-07-02 00:00:00-04:00,127.05579376220703
2018-07-03 00:00:00-04:00,126.73081970214844
2018-07-05 00:00:00-04:00,127.8049545288086
2018-07-06 00:00:00-04:00,128.8789520263672
2018-07-09 00:00:00-04:00,130.0523223876953
2018-07-10 00:00:00-04:00,130.3863067626953
2018-07-11 00:00:00-04:00,129.45663452148438
2018-07-12 00:00:00-04:00,130.52171325683594
2018-07-13 00:00:00-04:00,130.60292053222656
2018-07-16 00:00:00-04:00,130.39532470703125
2018-07-17 00:00:00-04:00,130.99102783203125
2018-07-18 00:00:00-04:00,131.2798614501953
2018-07-19 00:00:00-04:00,130.96397399902344
2018-07-20 00:00:00-04:00,130.7292938232422
2018-07-23 00:00:00-04:00,130.9368438720703
2018-07-24 00:00:00-04:00,131.22569274902344
2018-07-25 00:00:00-04:00,132.3449249267578
2018-07-26 00:00:00-04:00,132.12826538085938
2018-07-27 00:00:00-04:00,131.072265625
2018-07-30 00:00:00-04:00,130.21481323242188
2018-07-31 00:00:00-04:00,130.95489501953125
2018-08-01 00:00:00-04:00,130.80148315429688
2018-08-02 00:00:00-04:00,131.57769775390625
2018-08-03 00:00:00-04:00,132.0199737548828
2018-08-06 00:00:00-04:00,132.61570739746094
2018-08-07 00:00:00-04:00,133.0489044189453
2018-08-08 00:00:00-04:00,132.92254638671875
2018-08-09 00:00:00-04:00,132.832275390625
2018-08-10 00:00:00-04:00,132.0019073486328
2018-08-13 00:00:00-04:00,131.4964599609375
2018-08-14 00:00:00-04:00,132.36293029785156
