Date,IVV
2018-04-23 00:00:00-04:00,240.0823211669922
2018-04-24 00:00:00-04:00,236.9073028564453
2018-04-25 00:00:00-04:00,237.38134765625
2018-04-26 00:00:00-04:00,239.8229217529297
2018-04-27 00:00:00-04:00,240.0375518798828
2018-04-30 00:00:00-04:00,238.17727661132812
2018-05-01 00:00:00-04:00,238.642333984375
2018-05-02 00:00:00-04:00,236.9788360595703
2018-05-03 00:00:00-04:00,236.4690704345703
2018-05-04 00:00:00-04:00,239.52772521972656
2018-05-07 00:00:00-04:00,240.3953857421875
2018-05-08 00:00:00-04:00,240.29690551757812
2018-05-09 00:00:00-04:00,242.76539611816406
2018-05-10 00:00:00-04:00,244.96546936035156
2018-05-11 00:00:00-04:00,245.47523498535156
2018-05-14 00:00:00-04:00,245.788330078125
2018-05-15 00:00:00-04:00,243.99063110351562
2018-05-16 00:00:00-04:00,245.14434814453125
2018-05-17 00:00:00-04:00,244.94761657714844
2018-05-18 00:00:00-04:00,244.34837341308594
2018-05-21 00:00:00-04:00,246.13706970214844
2018-05-22 00:00:00-04:00,245.47523498535156
2018-05-23 00:00:00-04:00,246.1728057861328
2018-05-24 00:00:00-04:00,245.72569274902344
2018-05-25 00:00:00-04:00,245.0370330810547
2018-05-29 00:00:00-04:00,242.30921936035156
2018-05-30 00:00:00-04:00,245.5467987060547
2018-05-31 00:00:00-04:00,243.9191131591797
2018-06-01 00:00:00-04:00,246.4232940673828
2018-06-04 00:00:00-04:00,247.568115234375
2018-06-05 00:00:00-04:00,247.7916259765625
2018-06-06 00:00:00-04:00,249.92022705078125
2018-06-07 00:00:00-04:00,249.7593231201172
2018-06-08 00:00:00-04:00,250.45681762695312
2018-06-11 00:00:00-04:00,250.87730407714844
2018-06-12 00:00:00-04:00,251.21705627441406
2018-06-13 00:00:00-04:00,250.34959411621094
2018-06-14 00:00:00-04:00,251.05609130859375
2018-06-15 00:00:00-04:00,250.69834899902344
2018-06-18 00:00:00-04:00,250.15274047851562
2018-06-19 00:00:00-04:00,249.23158264160156
2018-06-20 00:00:00-04:00,249.7503204345703
2018-06-21 00:00:00-04:00,248.0242156982422
2018-06-22 00:00:00-04:00,248.53395080566406
2018-06-25 00:00:00-04:00,245.14434814453125
2018-06-26 00:00:00-04:00,245.7293243408203
2018-06-27 00:00:00-04:00,243.6176300048828
2018-06-28 00:00:00-04:00,245.145263671875
2018-06-29 00:00:00-04:00,245.3519287109375
2018-07-02 00:00:00-04:00,246.04380798339844
2018-07-03 00:00:00-04:00,245.06443786621094
2018-07-05 00:00:00-04:00,247.1669464111328
2018-07-06 00:00:00-04:00,249.08998107910156
2018-07-09 00:00:00-04:00,251.4262237548828
2018-07-10 00:00:00-04:00,252.34274291992188
2018-07-11 00:00:00-04:00,250.4647674560547
2018-07-12 00:00:00-04:00,252.62136840820312
2018-07-13 00:00:00-04:00,252.88182067871094
2018-07-16 00:00:00-04:00,252.79202270507812
2018-07-17 00:00:00-04:00,253.81629943847656
2018-07-18 00:00:00-04:00,254.37339782714844
2018-07-19 00:00:00-04:00,253.32217407226562
2018-07-20 00:00:00-04:00,253.0526580810547
